corp_code,corp_name,stock_code,created_at
00104856,삼성증권,,2025-08-18 05:45:49.978676+00
00110893,대신증권,,2025-08-18 05:45:49.978676+00
00113359,교보증권,,2025-08-18 05:45:49.978676+00
00117601,유안타증권,,2025-08-18 05:45:49.978676+00
00120182,NH투자증권,,2025-08-18 05:45:49.978676+00
00136721,신영증권,,2025-08-18 05:45:49.978676+00
00137997,현대차증권,,2025-08-18 05:45:49.978676+00
00138321,신한투자증권,,2025-08-18 05:45:49.978676+00
00148610,한화투자증권,,2025-08-18 05:45:49.978676+00
00148665,iM투자증권,,2025-08-18 05:45:49.978676+00
00160144,한국투자증권,,2025-08-18 05:45:49.978676+00
00163682,메리츠증권,,2025-08-18 05:45:49.978676+00
00164876,KB증권,,2025-08-18 05:45:49.978676+00
00684918,IBK투자증권,,2025-08-18 05:45:49.978676+00
